		2021-11-18	2021-12-09	2022-01-04	2022-01-21	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-07	2023-03-17	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-19	2024-08-16	2024-09-03	2024-10-14	2024-11-14
lawn mower malvern		3	1	3	2	2	1	1	4	4	4	3	2	2	2	4	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
lawn mower mentone		3	3	3	2	2	2	2	2	5	1	1	1	1	4	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
lawn mower moorabbin		1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lawn mower mount waverley		4	4	3	2	2	3	2	3	2	2	2	2	2	2	3	2	2	2	2	2	4	3	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2
lawn mower mulgrave		9	9	10	10	14	13	15	13	15	7	7	6	6	5	4	4	2	4	4	3	3	3	4	4	4	6	6	4	5	2	2	1	1	2	2	1	1	1	1
lawn mower oakleigh		1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
lawn mower patterson lakes		29	3	3	2	7	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	3	3	4	2	1	1	1	1	1	1	1	1	1	1	1	1	4	2	2
lawn mower sandringham		2	3	2	2	2	2	2	2	1	1	1	1	1	1	4	1	1	1	2	1	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lawn mower seaford		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lawn mower brighton		2	2	2	4	4	4	4	4	4	4	48	47	4	4	50	6	54	56	4	4	3	4	3	3	4	5	6	2	2	2	2	3	2	2	3	3	3	3	6
lawn mower ashwood		3	4	4	3	3	1	2	2	1	1	1	2	2	2	2	5	5	1	4	2	1	1	2	1	2	2	1	1	2	1	3	3	2	1	1	1	3	4	3
lawn mower balwyn		55	12	10	11	10	9	7	6	7	6	5	4	4	5	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2
lawn mower bayswater		2	4	3	3	4	2	4	4	4	5	5	5	5	3	3	3	2	2	2	2	3	2	4	2	3	4	3	2	3	3	6	6	5	6	4	4	4	5	4
lawn mower black rock		4	5	6	3	2	3	4	3	1	2	1	2	4	5	-	2	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2
lawn mower boronia		1	2	4	3	4	2	3	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	3	3	1	1	1	2
lawn mower box hill		9	4	3	3	7	5	8	8	7	5	4	7	7	5	6	6	5	6	6	8	5	7	10	6	7	2	2	2	2	4	6	5	4	4	4	5	4	4	7
lawn mower burwood		1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2
lawn mower camberwell		6	4	5	5	6	8	8	8	7	3	3	4	3	5	5	2	2	2	3	3	1	6	6	6	8	6	5	5	4	3	5	5	2	3	3	2	2	4	2
lawn mower chadstone		4	4	4	3	4	5	3	5	5	4	2	2	4	6	4	1	2	2	1	1	1	3	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	2
lawn mower dingley village		3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	3	2	5	1	4
lawn mower doncaster		4	5	4	5	4	3	5	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
lawn mower endeavour hills		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	11	12	11	8	11	8	6	8	5	4	6	6	5	5	6	5	7	3	7	8
lawn mower glen iris		11	11	12	11	8	6	4	4	3	21	3	3	3	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	1	2	5	5	4	4	6
lawn mower glen waverley		10	5	4	4	8	8	8	8	8	5	4	4	5	5	5	5	5	4	5	5	5	5	5	3	2	3	3	2	2	2	1	2	2	2	2	2	2	2	2
lawn mower highett		9	4	4	3	4	3	1	2	1	1	1	1	1	1	1	5	2	2	2	2	1	1	2	2	2	2	2	1	1	1	2	1	1	1	1	2	1	1	1
lawn mower keysborough		7	4	4	3	3	5	5	6	5	5	5	10	10	7	8	8	6	2	2	2	3	3	2	2	2	1	1	2	3	3	4	6	2	7	7	4	3	5	9
lawn mower mitcham		2	3	3	4	3	3	3	4	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	5	4	5	6	5	5	6	5	5	6	6
lawn mower mount eliza		5	6	5	5	4	2	2	2	4	4	3	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
lawn mower narre warren		1	3	2	3	2	3	2	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
lawn mower noble park		6	7	5	6	8	8	11	8	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	4	4	4	3	1	2	4	3	3	3	3	10	10	4	4
lawn mower nunawading		3	2	3	2	4	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lawn mower parkdale		4	3	7	5	5	4	6	7	4	2	3	2	3	3	7	1	1	1	1	1	1	2	3	2	3	2	2	2	2	2	3	3	3	4	4	4	3	6	9
lawn mower preston		3	2	4	3	2	2	3	3	9	4	5	4	4	4	3	2	12	14	3	4	4	4	4	17	17	15	12	11	2	6	25	13	23	24	2	20	2	3	4
lawn mower repair ashwood		4	3	3	3	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	1	2	1	1	1	1	1	1	1	2	2	2	2	3	3	3	3
lawn mower repair burwood		3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	3	3	2	2	1	1	2	1	1	1	1	2	2	1	2	2
lawn mower repair chadstone		2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	3	2	3
lawn mower repair dingley village		3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	2	1	1	1
lawn mower repair glen iris		5	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	3
lawn mower repair glen waverley		5	4	4	3	4	3	3	3	3	3	4	3	3	3	3	2	2	2	3	4	4	3	4	4	2	2	3	2	3	2	2	2	2	2	2	2	2	3	2
lawn mower repair keysborough		3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1
lawn mower repair mount waverley		4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	3	2	2	2	2
lawn mower repair noble park		6	5	4	5	6	8	7	6	5	5	5	6	5	6	5	5	5	5	5	5	5	5	4	4	4	4	4	3	4	4	3	2	3	3	2	10	3	2	2
lawn mower repair springvale		2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	3	2	4	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2
lawn mower repair wheelers hill		3	3	3	14	3	4	3	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	1	1	1	1	1	1	1	1	2	-	2
lawn mower repairs black rock		2	4	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	1	2	2	2	1	1	2	2	1	2
lawn mower repairs brighton		4	4	3	3	3	3	3	3	3	3	3	2	3	3	2	3	4	4	3	4	3	3	4	4	4	4	5	4	4	4	4	2	3	2	4	4	3	-	6
lawn mower repairs frankston		3	3	2	2	2	2	2	2	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	1	2	3	2	1	2	1	2	2	1	2	1	2	2	2
