		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-17	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-15	2024-08-26	2024-09-20	2024-10-18	2024-11-14
blocked drains mitcham		1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	4	3	3	3	5	3	3	2	2	2	3	2	2	3
blocked drains narre warren		1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	3	3	4	4	5	4	2	2	3	2	5	4	4	4	4	4	4	4	4	4	4
blocked drains northcote		2	2	3	-	3	3	4	4	6	5	5	6	6	5	5	5	4	5	6	4	4	3	3	4	5	6	8	6	8	7	5	7	10	7	6	7	8
blocked drains nunawading		1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	6	5	5	4	7	6	4	4	4	4	4	4	3	3	3	3	3	3	3	4	3
blocked drains ringwood		2	3	5	2	2	2	2	2	2	2	4	4	3	3	6	6	5	4	3	4	6	7	5	5	4	7	4	5	4	6	6	7	7	7	6	-	8
blocked drains rowville		3	2	2	5	4	3	3	3	3	3	5	5	3	4	4	4	3	4	6	6	4	5	5	5	5	6	3	3	3	3	3	4	4	4	4	5	5
blocked drains seaford		3	3	3	3	3	2	2	1	1	2	3	2	3	4	4	4	4	4	3	3	3	3	3	3	3	3	4	3	4	4	3	2	3	3	3	3	3
blocked drains south yarra		1	1	2	2	2	2	4	4	7	5	10	9	9	9	9	6	10	8	9	5	9	9	13	10	9	8	8	7	8	6	6	5	5	9	8	11	7
blocked drains st kilda		2	2	2	2	2	2	3	1	3	2	1	2	2	3	4	4	3	3	4	3	11	10	11	75	-	16	9	10	8	7	6	6	8	6	7	10	7
blocked drain surrey hills		5	6	3	5	3	3	5	6	5	1	3	3	2	2	2	2	2	1	3	2	1	1	2	3	3	4	1	1	4	1	3	2	3	1	2	1	1
blocked drains wheelers hill		1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	3	2	2	2	3	2	2	2	2	1	2	1	1	3	3	6	4	3	3
blocked drains annerley		4	3	3	4	4	4	6	5	5	6	5	5	4	6	6	6	7	8	7	7	11	11	14	11	9	13	6	10	9	8	7	5	5	4	4	4	5
blocked drains arundel		3	3	3	4	4	3	4	5	5	4	4	4	4	-	7	4	8	47	44	-	11	7	14	11	12	14	8	8	10	11	9	6	9	6	6	6	3
blocked drains ascot		2	2	2	2	2	92	4	3	2	13	3	2	1	5	5	4	4	5	5	4	3	2	1	1	2	2	2	2	2	3	3	4	6	7	4	4	6
blocked drain aspley		2	3	2	2	1	2	2	3	2	3	4	2	2	2	2	3	4	3	3	4	4	6	6	6	3	3	3	3	3	4	2	2	2	1	1	2	7
blocked drains aspley		3	1	2	2	1	2	2	2	2	2	2	2	1	1	2	3	3	3	3	4	4	4	4	5	3	3	3	4	3	4	2	2	2	2	2	59	3
blocked drains bellbowrie		1	1	1	1	1	3	2	1	1	2	2	2	1	1	1	2	2	2	2	2	4	4	7	13	10	6	6	6	5	5	3	2	4	3	2	4	6
blocked drain bracken ridge		2	2	3	2	1	2	2	3	3	3	3	3	3	3	6	6	5	9	5	39	31	35	6	7	6	5	4	4	5	5	4	3	4	3	2	41	3
blocked drains bridgeman downs		2	1	1	2	1	1	1	1	1	1	1	1	5	3	5	6	5	7	41	6	-	6	6	7	7	6	4	6	6	6	1	2	3	1	1	2	3
blocked drains carindale		5	5	3	3	4	5	4	5	5	5	4	4	4	4	5	5	3	4	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	2	2	4	4
blocked drain chermside		1	1	3	2	2	3	2	2	3	3	3	3	3	4	5	4	4	5	4	6	4	5	8	11	13	7	7	3	3	3	3	3	3	3	2	5	7
blocked drains forest lake		1	1	1	1	1	1	1	1	1	1	1	5	4	4	4	4	4	3	3	3	7	5	6	8	7	10	3	9	8	7	6	3	7	7	5	4	8
blocked drains hamilton		80	-	38	-	-	20	85	55	67	40	1	1	1	1	2	2	1	1	3	1	3	2	34	4	1	2	1	3	3	6	4	16	1	1	1	14	13
blocked drains holland park		7	6	4	5	6	3	7	4	3	4	4	3	5	6	7	6	6	7	7	6	9	8	9	12	11	1	1	1	7	4	3	2	2	4	4	2	5
blocked drains indooroopilly		4	4	4	5	4	3	3	4	4	5	5	6	6	4	7	7	5	6	3	4	5	6	3	4	4	3	4	5	4	4	2	3	5	4	2	2	4
blocked drains manly		9	8	5	7	8	8	9	-	-	-	-	-	-	-	-	14	-	-	-	-	-	-	-	-	-	10	13	20	19	23	16	7	8	13	9	12	7
blocked drains milton		1	1	1	3	2	2	2	2	1	23	4	4	3	3	4	3	5	52	6	5	5	8	11	12	-	2	8	10	11	36	2	34	1	1	1	-	2
blocked drains nerang		10	10	10	8	9	10	10	11	11	11	10	9	9	9	9	9	46	49	7	49	32	41	44	13	14	16	31	8	10	6	5	6	4	9	7	9	10
blocked drains newmarket		26	18	47	45	67	51	55	57	52	50	48	46	2	16	26	2	29	36	19	38	7	6	5	10	5	5	2	2	2	3	1	1	1	1	1	-	1
blocked drains nundah		1	1	5	5	5	3	-	4	2	5	6	7	6	7	38	39	38	39	35	35	32	7	13	11	9	6	5	5	6	6	4	6	7	5	4	3	4
blocked drains paddington		28	12	11	1	15	1	39	1	1	29	1	1	1	1	2	2	3	3	2	4	4	4	4	6	4	5	4	4	7	6	5	3	3	2	2	3	10
blocked drains rochedale		8	7	8	7	7	7	6	34	8	7	8	8	9	7	40	40	9	10	36	7	9	14	14	15	10	6	4	5	6	6	4	6	5	2	4	4	2
blocked drains seven hills		1	1	2	1	1	1	2	1	1	1	3	3	4	-	-	6	3	6	6	-	10	12	16	15	14	32	-	10	10	1	5	3	2	3	3	3	3
blocked drains stafford		1	1	1	2	1	3	1	2	1	1	1	1	1	1	1	2	2	3	62	62	87	91	-	75	8	11	6	8	9	10	4	1	1	1	1	34	11
blocked drains sunnybank		4	2	2	4	2	3	5	6	6	4	2	2	2	3	3	3	3	3	3	3	4	3	9	10	9	7	6	9	6	7	4	4	5	1	3	5	5
blocked drains toowong		4	3	4	3	3	3	33	4	4	3	5	7	6	5	8	7	6	9	6	5	30	9	31	31	27	4	5	4	5	5	5	3	4	2	3	53	4
blocked drains wavell heights		1	1	1	1	1	1	3	2	2	2	3	3	3	3	5	5	5	5	7	5	4	4	5	4	6	8	5	4	4	1	4	5	3	1	3	7	3
blocked drains wynnum		8	8	12	8	7	6	8	6	30	37	35	39	7	11	9	9	8	8	46	44	29	35	35	47	47	53	8	14	7	12	5	4	4	3	5	4	6
blocked sewer gold coast		2	4	5	4	4	5	4	5	5	3	4	4	5	4	8	8	8	8	9	9	7	9	10	10	11	11	6	9	9	9	9	11	9	19	16	15	14
blocked toilet gold coast		5	7	10	11	7	10	10	13	12	12	11	11	11	10	11	11	10	11	12	12	13	14	16	25	28	17	18	29	27	27	25	29	22	27	28	17	9
drain cleaning gold coast		6	6	10	7	9	8	6	8	6	6	6	5	8	6	7	8	8	10	10	10	9	10	10	9	16	15	13	19	20	19	14	19	22	28	32	55	43
blocked drain plumber		6	5	6	5	5	6	6	6	6	6	8	6	5	13	7	2	3	6	1	1	2	2	2	1	2	5	5	6	6	15	11	8	12	28	25	19	13
