		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-03	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-03	2023-07-22	2023-08-01	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-06-19	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
commercial electrician balaclava		1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	7	2	2	1	1	1	1	1	6	5	7	7	9	7	3	5	6	5	11	7	9	9	5	4
commercial electrician blackburn		4	3	8	5	6	36	4	4	48	4	32	3	3	4	3	3	3	3	2	4	3	1	2	2	2	2	2	3	2	4	1	3	25	3	3	3	3	3	25
commercial electrician box hill		11	23	64	30	35	32	35	32	63	59	52	51	8	61	53	68	71	74	10	-	63	4	6	6	5	4	6	8	6	6	3	5	4	4	4	6	5	4	14
commercial electrician brighton		2	2	87	33	-	35	36	-	4	5	4	4	-	-	-	-	-	-	-	-	4	3	3	3	3	3	3	1	1	1	1	39	1	1	1	2	2	1	28
commercial electrician burwood		4	6	7	7	7	5	5	6	6	5	6	6	5	4	3	1	5	3	8	7	8	2	4	2	4	2	3	3	4	1	3	3	3	3	3	7	4	5	23
commercial electrician camberwell		6	4	54	7	7	20	6	17	39	5	4	3	-	59	4	6	5	5	9	8	10	9	3	4	5	5	5	7	7	6	4	4	7	4	3	8	6	24	23
commercial electrician campbellfield		5	4	24	4	5	5	5	21	21	5	4	5	5	5	5	4	19	5	4	4	4	5	5	4	3	2	2	4	4	3	3	3	3	4	3	5	4	4	9
commercial electrician chadstone		6	4	5	5	5	4	6	8	7	6	6	6	5	5	5	4	4	7	4	-	-	2	3	2	2	2	2	2	2	2	1	1	1	1	2	2	3	3	9
commercial electrician clayton		8	9	8	4	6	17	1	18	2	2	4	4	4	3	3	3	2	4	3	3	3	3	2	2	2	1	1	3	2	3	2	2	3	11	13	12	2	2	17
commercial electrician doncaster		9	12	11	7	10	8	11	6	10	13	8	9	9	12	7	7	7	6	6	8	6	6	4	8	4	4	2	3	2	3	2	2	2	2	2	2	2	4	7
commercial electrician hawthorn		7	9	9	5	5	3	7	6	4	7	9	10	11	9	7	7	6	6	8	7	7	7	3	1	2	2	2	7	5	6	5	1	1	4	3	9	8	14	16
commercial electrician moorabbin		8	6	11	5	6	5	6	3	3	4	4	5	4	4	4	4	5	4	4	4	4	3	2	3	3	3	3	3	3	3	2	2	1	2	1	2	2	5	7
commercial electrician nunawading		8	6	10	3	6	2	5	2	5	6	4	9	8	6	10	9	8	9	6	6	6	4	4	1	1	1	1	2	1	1	2	1	2	2	2	1	3	6	7
commercial electrician preston		4	2	3	2	2	4	5	2	5	7	6	8	4	6	6	5	7	6	8	9	7	4	3	6	5	5	5	7	7	5	6	6	4	4	3	11	8	10	12
commercial electrician richmond		5	4	9	3	6	4	5	37	5	4	5	6	4	5	7	6	12	-	5	6	6	9	-	5	6	8	5	6	5	5	6	6	7	7	10	9	8	8	12
commercial electrician ringwood		8	11	11	7	9	7	21	21	9	52	9	7	8	8	8	2	5	5	5	5	5	3	2	2	3	3	2	3	3	2	2	2	1	2	2	1	1	1	3
commercial electrician south melbourne		10	9	7	10	11	10	10	12	27	33	5	6	5	37	5	28	7	37	7	-	-	3	4	8	4	2	5	6	6	4	2	3	1	3	2	11	5	3	14
commercial electrician st kilda		5	8	22	12	11	10	10	25	10	32	14	30	34	32	51	45	10	8	12	9	9	9	5	6	6	6	6	6	6	6	5	4	6	6	5	10	9	19	24
building maintenance dandenong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	2	1	2
commercial electrician dandenong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	93	8	3	6	7
building maintenance cheltenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1
commercial electrician cheltenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	4	3	27	6
building maintenance laverton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1
commercial electrician laverton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	1	1	10
