		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-03	2022-04-22	2022-05-12	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-03-27	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-30	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-17	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-10	2024-08-16	2024-09-20	2024-10-18	2024-11-14
caravan manufacturers somerton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers townsville		1	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers wagga wagga		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
caravans northern suburbs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
caravans eastern suburbs		1	1	1	1	1	1	2	1	2	3	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2
caravans mackay		18	22	22	18	14	14	11	13	10	10	11	12	13	13	11	10	11	12	10	10	10	8	9	10	9	10	8	8	8	6	6	6	6	6	6	7	7	6	7
caravans moama		3	3	3	3	2	2	2	3	6	5	3	3	5	5	3	2	5	5	5	5	5	4	3	4	5	6	4	4	6	3	8	8	8	9	8	7	8	7	17
caravans rockhampton		11	11	10	8	7	8	7	6	5	5	5	5	5	4	4	4	4	4	4	4	4	4	3	4	4	3	2	3	3	3	4	3	4	3	4	4	4	4	5
caravans townsville		13	10	14	15	15	9	9	8	6	6	6	7	8	9	7	6	8	8	8	8	8	8	8	9	7	10	10	9	10	8	10	11	9	8	9	7	8	11	11
caravans echuca		4	5	4	4	3	2	2	4	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	3	2	2	2	2	3	2	2	2	2	3
caravans gladstone		9	8	8	10	7	7	7	11	5	5	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravans somerton		1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravans wagga wagga		4	4	4	6	5	4	4	5	5	5	4	4	4	3	3	3	3	3	3	3	4	4	3	4	3	4	4	4	4	3	3	4	2	3	3	4	4	4	4
caravans for sale ballarat		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	10	11	11	11
caravans for sale bendigo		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	11	15	13	15
caravans for sale campbellfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	5	4	5
caravans for sale frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	7	6	5	8
caravans for sale geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	27	24	27	26
caravans for sale mornington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	4	4	6
caravans for sale pakenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	6	10	9	12
caravans for sale wodonga		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	8	7	9	9
caravans for sale yarrawonga		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	3	5	5
caravans for sale albury		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	16	13	12	13
caravan dealers melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	16	13	14	14
toy haulers melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	5	6	5	5
