		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-15	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-18	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-20	2024-03-15	2024-04-19	2024-05-16	2024-06-14	2024-07-18	2024-08-16	2024-09-05	2024-10-18	2024-11-14
roof restoration pakenham		8	9	5	7	5	5	5	5	2	3	3	4	2	2	2	2	7	6	3	3	1	5	4	2	3	3	4	4	4	2	3	5	2	2	4	3	3	4
roof restoration ringwood		21	17	14	16	18	12	12	13	11	9	8	9	6	5	5	5	13	14	8	8	9	9	8	6	8	8	12	14	14	15	13	16	11	13	18	15	15	18
roof restoration rowville		18	20	11	15	13	13	9	8	7	6	6	5	8	5	5	5	8	11	6	7	7	7	6	6	3	6	6	6	6	6	6	7	2	3	5	7	10	6
roof restoration aspendale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	95	-	25	6	2	3	1	2	2	2	3	4
roof restoration chelsea		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	13	12	13	14	14	25	17	19	18
roof restoration dromana		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	18	17	18	20	19	8	7	8	7
roof restoration frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	67	75	69	74	17	21	20	19	21
roof restoration mount eliza		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	52	51	52	43	61	50	38	40
roof restoration mount martha		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	64	9	7	9	10	3	4	5	6
roof restoration patterson lakes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	9	9	8	7	5	5	6	8	7
roof restoration red hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	17	19	14	19	16	3	5	5	7
roof restoration rosebud		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	23	26	24	26	17	8	8	10	12
roof restoration rye		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	10	8	8	10	8	7	9	6	5
roof repairs aspendale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	97	42	9	9	7	10	5	8	6	6	5
roof repairs chelsea		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	19	18	18	19	19	16	18	14	17
roof repairs dromana		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80	29	34	33	32	33	9	9	10	8
roof repairs frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	78	-	41	46	44	35	34
roof repairs mount eliza		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
roof repairs mount martha		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	12	16	13	8	8	6	7
roof repairs patterson lakes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	75	10	10	8	10	10	9	9	8	6
roof repairs red hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	49	40	48	34	1	6	8	7
roof repairs rosebud		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	82	51	64	55	52	39	9	9	9	9
roof repairs rye		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	14	14	16	14	14	13	13	13	16
roof painting aspendale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	2	1	1	1	1	1	1	3	2
roof painting chelsea		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	5	5	7	12	17	10	9	4
roof painting dromana		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	-	-	50	22	28	30	30	34	4	6	5	4
roof painting frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	67	59	57	65	64	19	24	13	14	14
roof painting mount eliza		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	98	98	96
roof painting mount martha		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	75	6	6	7	7	2	2	3	4
roof painting patterson lakes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	-	-	8	1	1	1	3	4	1	1	1	1
roof painting red hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	18	19	23	23	25	1	4	2	3
roof painting rosebud		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	24	27	26	28	28	9	10	1	2
roof painting rye		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	6	6	6	5	7	13	8	7	7
