		2021-06-21	2021-07-15	2021-08-09	2021-09-08	2021-09-26	2021-10-21	2021-11-08	2021-11-24	2021-12-16	2022-01-20	2022-02-03	2022-02-14	2022-03-18	2022-04-06	2022-05-18	2022-06-15	2022-07-15	2022-08-02	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-13	2023-02-16	2023-03-14	2023-04-17	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-07	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-03-18	2024-04-19
furniture rental		3	14	12	11	11	4	4	4	1	1	2	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lounge rental		9	9	9	7	4	4	4	4	5	4	5	5	3	4	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
recliners rental		-	-	-	-	-	-	5	5	4	6	4	4	6	7	5	6	8	6	4	5	6	3	5	6	5	7	7	6	6	5	10	4	4	4	6	5	2
sofa rental		-	-	-	-	-	-	9	8	7	8	7	7	7	6	6	6	6	7	4	7	7	7	6	4	3	3	4	4	2	1	2	1	1	1	2	2	2
sofa bed rental		-	-	-	-	-	-	4	6	6	3	3	3	3	3	4	3	3	2	3	3	3	3	4	2	2	2	2	2	1	2	2	1	1	1	1	1	1
rent to own lounges		10	10	-	10	7	7	6	6	5	3	4	4	3	3	4	4	5	3	4	4	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
dining table rental		-	-	-	-	-	-	-	-	-	35	27	4	3	3	3	3	3	2	2	2	-	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2
dining set rental		-	-	-	-	-	-	7	8	7	7	3	3	3	3	3	2	3	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
bedroom furniture rental		-	-	-	-	-	-	9	9	9	4	4	4	4	4	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	-	1	1	1	1	1	1	1
cot bed rental		-	-	-	-	-	-	37	42	61	6	3	5	2	3	1	1	2	2	1	1	1	1	1	1	1	1	1	1	5	4	4	3	6	3	2	4	6
baby cot rental		-	-	-	-	-	-	-	-	-	-	30	20	16	17	15	11	13	13	16	16	10	11	12	7	9	15	10	14	96	88	-	76	50	60	50	54	-
toddler bed rental		-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	8	7	9	9	4	9	9	4	4
