		2022-06-24	2022-07-15	2022-08-18	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-13	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2023-12-27	2024-01-19	2024-02-15	2024-03-13	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
accountants long beach		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	48	34	39	47	40	25	32	40	47	39	39	40	43	48
accountants oakland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	15	25	24	23	26	33	40	19	31	43	60	89	43	-
accountants bakersfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	37	37	38	36	37	39	38	35	36	36	37	40	83
accountants boston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	32	39	37	36	43	40	34	36	36	42	36	52	73	64
accountants worcester		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	31	32	27	34	32	33	36	38	73	40	36	42	73	96
accountants springfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	-	-	-	-	-	-	-	-	-	-	-	-	-
accountants cambridge		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	27	36	35	28	25	28	39	51	52	55	62	76	98
accountants lowell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	18	15	17	15	24	24	35	28	24	26	31	36	24	16
accountants newark		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	-	20	20	17	28	29	37	36	33	59	62	64	84	81
accountants jersey city		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	16	15	17	21	18	24	26	24	19	22	25	28	40	37
accountants paterson		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	6	6	12	7	14	13	14	10	20	28	30	10	11
accountants elizabeth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	-	15	15	16	43	26	28	55	33	66	23	46	84	-
accountants illinois		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60	45	56	68	67	66	-	43	44	38	-	-	61	-	-
accountants joliet		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	25	19	26	36	37	25	24	23	24	17	24	25	18
accountants naperville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37	39	40	31	41	37	47	43	42
